date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2020-02-22,51,20,20,71,38,44,24,48,7,96
2020-02-23,37,22,20,63,59,38,22,35,10,36
2020-02-24,45,45,44,74,42,77,20,45,7,47
2020-02-25,44,57,54,60,54,43,25,39,8,67
2020-02-26,38,52,27,61,31,51,23,33,7,39
2020-02-27,34,40,55,62,49,41,22,36,7,46
2020-02-28,35,31,19,53,33,24,20,38,8,55
2020-02-29,32,42,29,50,49,61,19,31,9,65
2020-03-01,24,39,19,52,44,42,23,30,9,58
2020-03-02,40,50,18,57,60,50,25,47,9,45
2020-03-03,33,50,27,50,39,49,19,25,11,39
2020-03-04,34,55,0,53,36,39,19,33,15,29
2020-03-05,29,35,37,59,51,50,26,32,11,69
2020-03-06,38,34,28,58,32,56,24,25,11,66
2020-03-07,33,22,19,53,50,32,24,29,13,63
2020-03-08,25,22,58,47,49,17,29,24,14,28
2020-03-09,26,34,35,46,41,26,25,29,12,50
2020-03-10,24,25,53,37,44,26,25,12,8,44
2020-03-11,29,37,27,38,36,31,25,17,8,51
2020-03-12,20,26,61,37,40,35,44,21,14,41
2020-03-13,23,28,63,35,37,21,27,13,8,67
2020-03-14,20,20,48,37,53,27,22,12,11,34
2020-03-15,18,23,20,38,51,34,24,25,12,50
2020-03-16,30,37,53,34,54,15,21,25,11,48
2020-03-17,31,43,18,36,49,25,22,25,17,44
2020-03-18,34,50,35,46,72,33,27,42,37,41
2020-03-19,32,54,44,47,100,40,37,26,99,47
2020-03-20,31,57,62,48,45,33,27,28,60,54
2020-03-21,32,37,29,43,44,43,27,32,52,58
2020-03-22,31,39,19,41,46,30,28,29,34,44
2020-03-23,30,34,25,35,47,24,25,26,27,45
2020-03-24,32,49,18,37,76,25,25,17,23,41
2020-03-25,35,41,36,34,53,31,41,24,28,61
2020-03-26,30,52,54,32,47,37,38,21,23,32
2020-03-27,25,48,89,34,46,28,29,18,18,57
2020-03-28,26,33,48,30,38,32,33,14,22,55
2020-03-29,23,25,49,32,45,31,27,18,16,49
2020-03-30,22,41,62,26,52,22,33,13,13,38
2020-03-31,30,36,45,26,49,23,24,17,11,51
2020-04-01,24,48,18,25,54,30,39,23,9,62
2020-04-02,26,43,37,26,43,20,36,18,13,60
2020-04-03,23,26,38,31,52,22,35,15,12,44
2020-04-04,25,25,49,30,62,19,39,20,15,46
2020-04-05,36,21,49,33,59,32,31,20,9,66
2020-04-06,38,47,53,37,37,26,34,18,13,83
2020-04-07,38,50,54,36,47,22,29,20,12,49
2020-04-08,34,39,63,33,46,19,43,14,12,61
2020-04-09,27,33,26,31,44,29,69,25,10,44
2020-04-10,24,32,36,26,54,25,48,19,9,54
2020-04-11,20,19,19,22,52,17,48,12,8,27
2020-04-12,22,20,20,24,56,21,36,19,13,63
2020-04-13,24,28,73,28,69,20,46,9,12,49
2020-04-14,18,23,72,21,55,25,46,14,11,39
2020-04-15,17,14,18,17,49,16,54,19,6,41
2020-04-16,19,17,79,19,45,26,37,10,8,53
2020-04-17,14,13,61,14,42,23,29,9,10,53
2020-04-18,18,11,38,17,34,11,25,8,7,61
2020-04-19,22,20,77,17,53,16,17,13,7,38
2020-04-20,28,18,95,17,54,20,19,13,7,47
2020-04-21,22,14,78,19,46,13,19,5,8,28
2020-04-22,23,22,88,17,54,23,27,7,10,16
